nk_1,nk_2,N_common_energy_points,rms
6,8,400,0.060249186
6,10,400,0.051288172
6,12,400,0.046741804
6,14,400,0.047496361
6,16,400,0.046747467
6,18,400,0.045884961
8,10,400,0.030082319
8,12,400,0.024015065
8,14,400,0.021706047
8,16,400,0.021369635
8,18,400,0.021288439
10,12,400,0.023945559
10,14,400,0.018572453
10,16,400,0.017717387
10,18,400,0.017871910
12,14,400,0.013815312
12,16,400,0.011686073
12,18,400,0.010852295
14,16,400,0.010351490
14,18,400,0.007435228
16,18,400,0.007018840
